epoch,HMD_rotation,gaze_forward
1660220063430569,0.9954887951942812,"[0.0, 0.0, 0.0]"
1660220063447532,0.9954434950990555,"[0.0, 0.0, 0.0]"
1660220063463997,0.9953932100934603,"[0.0, 0.0, 0.0]"
1660220063481000,0.9953284367172393,"[0.0, 0.0, 0.0]"
1660220063497498,0.9952819678072556,"[0.0, 0.0, 0.0]"
1660220063514003,0.9952338110088245,"[0.0, 0.0, 0.0]"
1660220063530499,0.9951815087243324,"[0.0, 0.0, 0.0]"
1660220063547503,0.9951187218285532,"[0.0, 0.0, 0.0]"
1660220063564004,0.9950811394404795,"[0.0, 0.0, 0.0]"
1660220063580503,0.9950395867982741,"[0.0, 0.0, 0.0]"
1660220063597503,0.9950277202179848,"[0.0, 0.0, 0.0]"
1660220063614501,0.9950347755688642,"[0.0, 0.0, 0.0]"
1660220063631002,0.9950215536917895,"[0.0, 0.0, 0.0]"
1660220063647503,0.9949862839443679,"[0.0, 0.0, 0.0]"
1660220063664006,0.9949400449911704,"[0.0, 0.0, 0.0]"
1660220063680507,0.9949079610141681,"[0.0, 0.0, 0.0]"
1660220063697508,0.9948921684239473,"[0.0, 0.0, 0.0]"
1660220063714005,0.9948839392697767,"[0.0, 0.0, 0.0]"
1660220063731009,0.9948697818034699,"[0.0, 0.0, 0.0]"
1660220063747509,0.9948420972929023,"[0.0, 0.0, 0.0]"
1660220063764010,0.9947905675378012,"[0.0, 0.0, 0.0]"
1660220063780511,0.9947205715348449,"[0.0, 0.0, 0.0]"
1660220063797512,0.994622456355239,"[0.0, 0.0, 0.0]"
1660220063814008,0.9945442456793548,"[0.0, 0.0, 0.0]"
1660220063830508,0.9944854689180868,"[0.0, 0.0, 0.0]"
1660220063847509,0.9944703386119458,"[0.0, 0.0, 0.0]"
1660220063864010,0.9945228974100847,"[0.0, 0.0, 0.0]"
1660220063881015,0.9945515961314465,"[0.0, 0.0, 0.0]"
1660220063897514,0.9945756133376322,"[0.0, 0.0, 0.0]"
1660220063914011,0.9945855594728982,"[0.0, 0.0, 0.0]"
1660220063930515,0.9945606128558634,"[0.0, 0.0, 0.0]"
1660220063947516,0.9944757053963617,"[0.0, 0.0, 0.0]"
1660220063964013,0.9943604610194973,"[0.0, 0.0, 0.0]"
1660220063980514,0.9942191191562197,"[0.0, 0.0, 0.0]"
1660220063997518,0.9940286767272104,"[0.0, 0.0, 0.0]"
1660220064014015,0.9937515008698259,"[0.0, 0.0, 0.0]"
1660220064030519,0.9933860466509269,"[0.0, 0.0, 0.0]"
1660220064047520,0.9929699195585674,"[0.0, 0.0, 0.0]"
1660220064064017,0.9924798773631749,"[0.0, 0.0, 0.0]"
1660220064081017,0.9920155626117649,"[0.0, 0.0, 0.0]"
1660220064097522,0.9914560696299065,"[0.0, 0.0, 0.0]"
1660220064114018,0.9909778770409543,"[0.0, 0.0, 0.0]"
1660220064130522,0.9905914251314444,"[0.0, 0.0, 0.0]"
1660220064147519,0.9903842864239987,"[0.0, 0.0, 0.0]"
1660220064164023,0.9902983144858201,"[0.0, 0.0, 0.0]"
1660220064180520,0.9903340787242695,"[0.0, 0.0, 0.0]"
1660220064197520,0.9904375763703384,"[0.0, 0.0, 0.0]"
1660220064214025,0.9906123106864998,"[0.0, 0.0, 0.0]"
1660220064231025,0.9907611655554789,"[0.0, 0.0, 0.0]"
1660220064247525,0.9908704917269179,"[0.0, 0.0, 0.0]"
1660220064264023,0.9908690873418784,"[0.0, 0.0, 0.0]"
1660220064281024,0.9908386966960523,"[0.0, 0.0, 0.0]"
1660220064297524,0.9907674329232586,"[0.0, 0.0, 0.0]"
1660220064314025,0.9906778148668922,"[0.0, 0.0, 0.0]"
1660220064331029,0.9905857891626605,"[0.0, 0.0, 0.0]"
1660220064347529,0.9905600240011978,"[0.0, 0.0, 0.0]"
1660220064364027,0.9905897189212884,"[0.0, 0.0, 0.0]"
1660220064380530,0.9906655746767581,"[0.0, 0.0, 0.0]"
1660220064397527,0.9907813822727096,"[0.0, 0.0, 0.0]"
1660220064414028,0.9908524015475151,"[0.0, 0.0, 0.0]"
1660220064431031,0.990920867923023,"[0.0, 0.0, 0.0]"
1660220064447529,0.9910133539580324,"[0.0, 0.0, 0.0]"
1660220064464029,0.9911066502548356,"[0.0, 0.0, 0.0]"
1660220064480533,0.9911212664129907,"[0.0, 0.0, 0.0]"
1660220064497534,0.9910479394716689,"[0.0, 0.0, 0.0]"
1660220064514031,0.9909200160734193,"[0.0, 0.0, 0.0]"
1660220064530535,0.9908453110381595,"[0.0, 0.0, 0.0]"
1660220064547532,0.9909333508211137,"[0.0, 0.0, 0.0]"
1660220064564033,0.9911098660843908,"[0.0, 0.0, 0.0]"
1660220064581036,0.9913466117625475,"[0.0, 0.0, 0.0]"
1660220064597537,0.9916671468254553,"[0.0, 0.0, 0.0]"
1660220064614034,0.992064491156634,"[0.0, 0.0, 0.0]"
1660220064631039,0.9924824600890947,"[0.0, 0.0, 0.0]"
1660220064647535,0.992840089321528,"[0.0, 0.0, 0.0]"
1660220064664037,0.9930441605944956,"[0.0, 0.0, 0.0]"
1660220064681042,0.9931431355600883,"[0.0, 0.0, 0.0]"
1660220064697540,0.9932585058906231,"[0.0, 0.0, 0.0]"
1660220064714041,0.9934463387306841,"[0.0, 0.0, 0.0]"
1660220064731038,0.9936340289843456,"[0.0, 0.0, 0.0]"
1660220064747539,0.9937008451250982,"[0.0, 0.0, 0.0]"
1660220064764039,0.9936083345215156,"[0.0, 0.0, 0.0]"
1660220064781043,0.9934142705370568,"[0.0, 0.0, 0.0]"
1660220064797566,0.9932743279616307,"[0.0, 0.0, 0.0]"
1660220064814044,0.9932172702876804,"[0.0, 0.0, 0.0]"
1660220064831042,0.9933492543231839,"[0.0, 0.0, 0.0]"
1660220064847545,0.9936641973015552,"[0.0, 0.0, 0.0]"
1660220064864046,0.9940673291226455,"[0.0, 0.0, 0.0]"
1660220064881048,0.9944826778327817,"[0.0, 0.0, 0.0]"
1660220064897547,0.9948246535089816,"[0.0, 0.0, 0.0]"
1660220064914044,0.9950979237572355,"[0.0, 0.0, 0.0]"
1660220064931045,0.9952907833286208,"[0.0, 0.0, 0.0]"
1660220064947545,0.9954130501125908,"[0.0, 0.0, 0.0]"
1660220064964046,0.995490202514625,"[0.0, 0.0, 0.0]"
1660220064981050,0.9955092590238734,"[0.0, 0.0, 0.0]"
1660220064997547,0.9955452554548494,"[0.0, 0.0, 0.0]"
1660220065014051,0.9956696160059116,"[0.0, 0.0, 0.0]"
1660220065031048,0.9958327885225103,"[0.0, 0.0, 0.0]"
1660220065047552,0.9960067262419231,"[0.0, 0.0, 0.0]"
1660220065064053,0.9961485352584722,"[0.0, 0.0, 0.0]"
1660220065081050,0.9962405061268241,"[0.0, 0.0, 0.0]"
1660220065097555,0.9963163115833696,"[0.0, 0.0, 0.0]"
1660220065114051,0.9963897156009764,"[0.0, 0.0, 0.0]"
1660220065131052,0.9964634135304719,"[0.0, 0.0, 0.0]"
1660220065147588,0.996479611388761,"[0.0, 0.0, 0.0]"
1660220065164055,0.9964634899595193,"[0.0, 0.0, 0.0]"
1660220065181053,0.9964402661138126,"[0.0, 0.0, 0.0]"
1660220065197557,0.9965047777606731,"[0.0, 0.0, 0.0]"
1660220065214054,0.9966202432486544,"[0.0, 0.0, 0.0]"
1660220065231054,0.9967538635483096,"[0.0, 0.0, 0.0]"
1660220065247558,0.996785757272292,"[0.0, 0.0, 0.0]"
1660220065264059,0.9967068012786493,"[0.0, 0.0, 0.0]"
1660220065280559,0.9966048602096086,"[0.0, 0.0, 0.0]"
1660220065297560,0.9964351030683778,"[0.0, 0.0, 0.0]"
1660220065314061,0.9961522146756417,"[0.0, 0.0, 0.0]"
1660220065331057,0.995851137404057,"[0.0, 0.0, 0.0]"
