Carla Interface.time; Carla Interface.agents.Ego Vehicle_1.cruise_control_active; Carla Interface.agents.Ego Vehicle_1.transform; Carla Interface.agents.Ego Vehicle_1.velocities_in_vehicle_frame; Carla Interface.agents.Ego Vehicle_2.cruise_control_active; Carla Interface.agents.Ego Vehicle_2.transform; Carla Interface.agents.Ego Vehicle_2.velocities_in_vehicle_frame
1660219510280861700; True; [24.214191436767578, -64.05736541748047, 0.3013327121734619, -94.26471710205078, -0.09524698555469513, 0.23165152966976166]; [13.800307273864746, 0.20979897677898407, 0.00675423676148057]; True; [-24.198259353637695, -64.0596694946289, 0.29723885655403137, -83.96666717529297, -0.1267341524362564, -0.129119873046875]; [13.8849515914917, 0.009564036503434181, 0.011257507838308811]
1660219510291859600; True; [24.195941925048828, -64.28736114501953, 0.3009728491306305, -93.76030731201172, -0.08907932043075562, 0.32481303811073303]; [13.786142349243164, 0.2079397588968277, 0.006862687412649393]; True; [-24.17403221130371, -64.29035186767578, 0.29685473442077637, -83.93031311035156, -0.12509490549564362, -0.1231994479894638]; [13.884969711303711, 0.008746682666242123, 0.011507045477628708]
1660219510302862100; True; [24.195941925048828, -64.28736114501953, 0.3009728491306305, -93.76030731201172, -0.08907932043075562, 0.32481303811073303]; [13.786142349243164, 0.2079397588968277, 0.006862687412649393]; True; [-24.17403221130371, -64.29035186767578, 0.29685473442077637, -83.93031311035156, -0.12509490549564362, -0.1231994479894638]; [13.884969711303711, 0.008746682666242123, 0.011507045477628708]
1660219510313862200; True; [24.179323196411133, -64.51394653320312, 0.30063462257385254, -93.19364929199219, -0.08245404064655304, 0.4195464551448822]; [13.774127960205078, 0.19995887577533722, 0.006854286417365074]; True; [-24.150043487548828, -64.51764678955078, 0.29648706316947937, -83.89327239990234, -0.1238381564617157, -0.11782833188772202]; [13.885038375854492, 0.007591010071337223, 0.011629861779510975]
1660219510324358900; True; [24.16420555114746, -64.74349975585938, 0.3003104031085968, -92.55062103271484, -0.07504328340291977, 0.5171129107475281]; [13.759571075439453, 0.19442717730998993, 0.006863439921289682]; True; [-24.12559700012207, -64.74796295166016, 0.29612621665000916, -83.854736328125, -0.12286143749952316, -0.1128845065832138]; [13.88499641418457, 0.0070853158831596375, 0.011988482438027859]
1660219510335859100; True; [24.16420555114746, -64.74349975585938, 0.3003104031085968, -92.55062103271484, -0.07504328340291977, 0.5171129107475281]; [13.759571075439453, 0.19442717730998993, 0.006863439921289682]; True; [-24.12559700012207, -64.74796295166016, 0.29612621665000916, -83.854736328125, -0.12286143749952316, -0.1128845065832138]; [13.88499641418457, 0.0070853158831596375, 0.011988482438027859]
1660219510347359000; True; [24.151029586791992, -64.97340393066406, 0.30000656843185425, -91.84038543701172, -0.06695634126663208, 0.6143536567687988]; [13.747014999389648, 0.1840927004814148, 0.006753074936568737]; True; [-24.100971221923828, -64.9786376953125, 0.29577431082725525, -83.81554412841797, -0.1221989095211029, -0.1084289401769638]; [13.885002136230469, 0.006190940737724304, 0.0122876837849617]
1660219510358359400; True; [24.14015007019043, -65.20120239257812, 0.2997274398803711, -91.07513427734375, -0.058288831263780594, 0.7085292339324951]; [13.73705768585205, 0.17002494633197784, 0.006459196098148823]; True; [-24.076427459716797, -65.2071762084961, 0.29543209075927734, -83.7763671875, -0.12172762304544449, -0.1045227125287056]; [13.885043144226074, 0.005642669275403023, 0.012444192543625832]
1660219510358359400; True; [24.14015007019043, -65.20120239257812, 0.2997274398803711, -91.07513427734375, -0.058288831263780594, 0.7085292339324951]; [13.73705768585205, 0.17002494633197784, 0.006459196098148823]; True; [-24.076427459716797, -65.2071762084961, 0.29543209075927734, -83.7763671875, -0.12172762304544449, -0.1045227125287056]; [13.885043144226074, 0.005642669275403023, 0.012444192543625832]
1660219510369859000; True; [24.14015007019043, -65.20120239257812, 0.2997274398803711, -91.07513427734375, -0.058288831263780594, 0.7085292339324951]; [13.73705768585205, 0.17002494633197784, 0.006459196098148823]; True; [-24.076427459716797, -65.2071762084961, 0.29543209075927734, -83.7763671875, -0.12172762304544449, -0.1045227125287056]; [13.885043144226074, 0.005642669275403023, 0.012444192543625832]
