ahead_fixations_55_45,behind_fixations_55_45,ahead_fixations_60_40,behind_fixations_60_40
0.28011825572801186,0.33512682551883166,0.12938005390835583,0.0911047345767575
0.2988142292490119,0.1864927091327705,0.35311572700296734,0.18887908208296555
0.3446843853820598,0.1691297208538588,0.3378891419893698,0.0
0.22989323843416365,0.07823613086770986,0.24030470914127422,0.24031620553359678
0.24285714285714288,0.29442970822281167,0.36962552011095695,0.0
0.400359066427289,0.3471001757469244,0.20046260601387822,0.08654750705550329
0.38910812943962114,0.33944223107569726,0.21635544108177718,0.14850746268656712
0.19117647058823528,0.025510204081632626,0.654275092936803,0.0
0.42846270928462704,0.052502050861361726,0.3818424566088118,0.0
0.34949961508852967,0.04939271255060729,0.450589970501475,0.05283018867924527
0.6888556469708302,0.051978277734678,0.49476622470341936,0.0
0.34765625,0.032125205930807255,0.5407239819004526,0.09677419354838712
0.3090760425183974,0.040562913907284726,0.2958700067704807,0.0
0.4617036506800286,0.17050691244239635,0.35382308845577215,0.0
0.3381679389312977,0.05420267085624508,0.20718816067653278,0.44310897435897434
0.1227544910179641,0.4118975903614458,0.1909967845659164,0.4908220271348763
0.16175413371675051,0.5202702702702703,0.09234828496042213,0.3291338582677166
0.16236933797909403,0.5505703422053232,0.16440129449838192,0.44674085850556444
0.15874125874125877,0.3389700230591852,0.30023640661938533,0.7349607672188317
0.23569023569023573,0.37151037938439513,0.22682323856613107,0.26423902894491125
0.1801016702977487,0.5673534072900158,0.22003804692454032,0.4683641975308642
0.32639885222381637,0.5854601701469451,0.2509627727856226,0.5251028806584361
0.4448205822613406,0.3119341563786008,0.1788732394366197,0.5820763087843833
0.3430191353649894,0.4161442006269592,0.30627306273062727,0.2390289449112979
0.39820359281437123,0.3070469798657718,0.3522053982883476,0.6512013256006628
0.24215900802334067,0.18961253091508656,0.3101023017902813,0.21734892787524362
0.5247813411078717,0.8264808362369338,0.4056603773584906,0.1637764932562621
0.42747021723896284,0.33604135893648446,0.44391570360299115,0.3998219056099733
0.2975206611570248,0.5255854293148309,0.42149837133550494,0.27772227772227775
0.19722955145118737,0.04074402125775023,0.3739255014326648,0.020000000000000018
0.4201909959072305,0.04013663535439793,0.24322538003965632,0.03620273531777951
0.3295615275813296,0.07962328767123283,0.37425742574257426,0.018425460636515956
0.3010279001468429,0.023975251353441585,0.24555628703094146,0.15663643858202803
0.27628716461203773,0.0,0.3919191919191919,0.016710642040457357
0.31891495601173026,0.022953328232593773,0.3337792642140468,0.03586678052946202
0.35596854896354535,0.08545034642032334,0.3533882203926536,0.0431034482758621
0.3141122913505311,0.10414971521562244,0.34788732394366195,0.06564364876385331
0.25147928994082835,0.1530769230769231,0.37037037037037035,0.12939001848428833
0.23963828183873404,0.12570056044835864,0.1502808988764045,0.20146520146520142
0.3226723525230988,0.3799368088467614,0.15782404298186703,0.05872340425531919
0.26124197002141325,0.221259842519685,0.4323086984957488,0.3931330472103004
0.21923076923076923,0.09256198347107436,0.31690622861054074,0.06118881118881114
0.28856088560885607,0.07896794370602034,0.19959541469993258,0.15500442869796283
0.4347258485639687,0.48167155425219943,0.3131793478260869,0.057510729613733935
