crt_50_50,crt_45_55_vehicle1,crt_55_45_vehicle2,crt_40_60_vehicle1,crt_60_40_vehicle2
6.863933,16.460031,9.773406,15.164223,15.16224
6.50137,9.180356,14.926269,8.678753,10.109118
7.524971,9.223056,14.634972,9.388458,12.095776
13.411937,10.168844,15.199943,12.729004,13.747201
11.649778,8.698341,9.837804,15.715938,10.118036
13.8917,14.37471,9.164253,14.735329,8.474326
6.563916,9.004186,16.653201,16.953439,9.41642
9.811118,9.593417,14.743811,12.472939,14.751681
7.586549,9.750679,19.030121,9.032435,12.341891
13.852735,9.875782,19.310195,13.885954,14.262015
9.85572,15.686269,15.144456,15.622187,15.461911
7.943406,9.899667,16.054256,8.369392,17.669114
8.628216,9.001146,10.505341,15.391742,18.309204
7.594716,17.277146,19.275688,8.835344,13.116702
14.169507,10.715652,17.962939,13.614213,17.490802
6.546218,15.153137,19.041879,15.78869,16.950868
13.219756,13.129953,14.712925,13.706529,10.466956
16.316509,20.311594,15.740477,18.010811,8.210915
7.177377,17.854373,9.354034,10.889796,8.449808
6.547598,18.830108,9.873297,10.711735,11.055956
12.042459,17.561928,8.989197,16.820672,10.445958
12.299985,18.653574,9.291948,17.165541,13.220218
13.451212,19.571931,15.935785,15.324744,16.917528
6.668288,19.262863,18.79449,10.541106,16.281958
7.084496,17.880869,17.022822,10.015923,11.863278
7.190287,19.313526,14.604771,10.450391,9.710964
13.384211,20.165276,17.394868,11.080717,9.774971
11.81027,18.943471,16.331021,8.914225,12.791379
10.143451,17.072247,9.130772,10.856399,12.220555
7.498685,13.994454,19.144595,13.319482,15.984977
14.77691,12.718485,16.733567,18.09131,16.690979
4.335428,18.870977,16.894257,4.528994,10.027758
12.595538,8.841517,15.267817,17.890088,16.380926
7.261286,19.688852,18.92383,10.464071,8.987993
13.18337,10.964164,18.651484,12.774223,16.693729
10.067971,18.067487,17.033964,17.884986,9.87447
15.04715,16.73199,19.137082,16.974985,16.408777
16.129974,17.662124,14.823989,7.760183,15.16196
14.212261,16.922842,13.821558,9.924234,16.790428
11.48396,19.488752,16.808766,15.868391,17.065121
4.608584,18.134613,17.038454,16.902857,14.1525
16.137239,19.354782,15.62559,11.512713,13.841528
11.401521,16.796884,18.809658,9.8142,15.839451
6.342026,20.070967,15.828868,14.224119,8.514192
11.769765,17.947667,18.7185,6.67344,16.610702
12.050985,18.540038,10.158872,7.049016,10.9541
6.749853,20.280296,18.493017,13.480614,7.730042
15.255179,18.668418,16.297033,18.2653,8.415046
6.800592,8.831607,8.333563,16.886654,16.238057
15.425755,15.824145,8.587192,9.019552,
14.071338,9.561553,8.080133,14.39708,
16.237754,17.96108,9.05859,10.775037,
12.975676,15.515186,9.269058,,
6.394139,,8.731539,,
7.094937,,9.441535,,
15.591478,,,,
16.597242,,,,
14.926904,,,,
15.423169,,,,
12.131186,,,,
15.007565,,,,
16.070039,,,,
10.907484,,,,
10.834485,,,,
11.923033,,,,
10.015988,,,,
6.160992,,,,
16.307989,,,,
6.158858,,,,
5.902494,,,,
6.509871,,,,
6.294856,,,,
6.560492,,,,
6.291493,,,,
6.655995,,,,
6.610625,,,,
12.375491,,,,
6.164344,,,,
15.435933,,,,
12.465829,,,,
8.501154,,,,
15.793955,,,,
16.543761,,,,
13.499141,,,,
13.33829,,,,
15.800574,,,,
15.451901,,,,
7.658156,,,,
12.250225,,,,
10.967535,,,,
7.678514,,,,
11.712293,,,,
13.037455,,,,
4.510509,,,,
5.969012,,,,
5.888355,,,,
4.601602,,,,
10.433733,,,,
6.176102,,,,
10.647873,,,,
9.050083,,,,
6.126056,,,,
5.866554,,,,
4.600532,,,,
5.989526,,,,
6.346028,,,,
8.424029,,,,
16.232673,,,,
