Carla Interface.time; Carla Interface.agents.Ego Vehicle_1.cruise_control_active; Carla Interface.agents.Ego Vehicle_1.transform; Carla Interface.agents.Ego Vehicle_1.velocities_in_vehicle_frame; Carla Interface.agents.Ego Vehicle_2.cruise_control_active; Carla Interface.agents.Ego Vehicle_2.transform; Carla Interface.agents.Ego Vehicle_2.velocities_in_vehicle_frame
1657708875338614500; True; [29.20631980895996, -11.054268836975098, 0.30317726731300354, -97.01013946533203, -0.0571276992559433, -0.1643982082605362]; [7.002779960632324, 0.0010443556820973754, 0.004515374545007944]; True; [-29.258302688598633, -11.117466926574707, 0.3042096495628357, -87.0016098022461, -0.12890614569187164, -0.16369624435901642]; [8.1797456741333, 0.00023933622287586331, 0.016643941402435303]
1657708875349496300; True; [29.20631980895996, -11.054268836975098, 0.30317726731300354, -97.01013946533203, -0.0571276992559433, -0.1643982082605362]; [7.002779960632324, 0.0010443556820973754, 0.004515374545007944]; True; [-29.214752197265625, -11.948700904846191, 0.3034067749977112, -87.00231170654297, -0.12323026359081268, -0.1619872748851776]; [8.31816577911377, 0.00011341091885697097, 0.017860786989331245]
1657708875360409400; True; [29.113780975341797, -11.808425903320312, 0.30149731040000916, -97.03089141845703, 0.0883689820766449, -0.1635741889476776]; [6.998738765716553, 0.0017236749408766627, -0.008475442416965961]; True; [-29.214752197265625, -11.948700904846191, 0.3034067749977112, -87.00231170654297, -0.12323026359081268, -0.1619872748851776]; [8.31816577911377, 0.00011341091885697097, 0.017860786989331245]
1657708875371320100; True; [29.09519386291504, -11.959503173828125, 0.3014647662639618, -97.03520965576172, 0.11416660249233246, -0.1634826511144638]; [8.083984375, 0.0006504190969280899, -0.003926493693143129]; True; [-29.20660972595215, -12.104178428649902, 0.3031160235404968, -87.00237274169922, -0.123052679002285, -0.1617126166820526]; [8.33072566986084, 2.303406290593557e-05, 0.004011414013803005]
1657708875382259900; True; [29.09519386291504, -11.959503173828125, 0.3014647662639618, -97.03520965576172, 0.11416660249233246, -0.1634826511144638]; [8.083984375, 0.0006504190969280899, -0.003926493693143129]; True; [-29.20660972595215, -12.104178428649902, 0.3031160235404968, -87.00237274169922, -0.123052679002285, -0.1617126166820526]; [8.33072566986084, 2.303406290593557e-05, 0.004011414013803005]
1657708875382259900; True; [29.09519386291504, -11.959503173828125, 0.3014647662639618, -97.03520965576172, 0.11416660249233246, -0.1634826511144638]; [8.083984375, 0.0006504190969280899, -0.003926493693143129]; True; [-29.20660972595215, -12.104178428649902, 0.3031160235404968, -87.00237274169922, -0.123052679002285, -0.1617126166820526]; [8.33072566986084, 2.303406290593557e-05, 0.004011414013803005]
1657708875393144300; True; [29.09519386291504, -11.959503173828125, 0.3014647662639618, -97.03520965576172, 0.11416660249233246, -0.1634826511144638]; [8.083984375, 0.0006504190969280899, -0.003926493693143129]; True; [-29.20660972595215, -12.104178428649902, 0.3031160235404968, -87.00237274169922, -0.123052679002285, -0.1617126166820526]; [8.33072566986084, 2.303406290593557e-05, 0.004011414013803005]
1657708875404056800; True; [29.09519386291504, -11.959503173828125, 0.3014647662639618, -97.03520965576172, 0.11416660249233246, -0.1634826511144638]; [8.083984375, 0.0006504190969280899, -0.003926493693143129]; True; [-29.20660972595215, -12.104178428649902, 0.3031160235404968, -87.00237274169922, -0.123052679002285, -0.1617126166820526]; [8.33072566986084, 2.303406290593557e-05, 0.004011414013803005]
1657708875414996500; True; [29.09519386291504, -11.959503173828125, 0.3014647662639618, -97.03520965576172, 0.11416660249233246, -0.1634826511144638]; [8.083984375, 0.0006504190969280899, -0.003926493693143129]; True; [-29.20660972595215, -12.104178428649902, 0.3031160235404968, -87.00237274169922, -0.123052679002285, -0.1617126166820526]; [8.33072566986084, 2.303406290593557e-05, 0.004011414013803005]
1657708875425886800; True; [29.042211532592773, -12.389970779418945, 0.30141836404800415, -97.04861450195312, 0.1833495944738388, -0.1632080078125]; [7.602975845336914, 0.0015226047253236175, -0.014847547747194767]; True; [-29.182714462280273, -12.560461044311523, 0.30264270305633545, -87.00248718261719, -0.12341468036174774, -0.1611023098230362]; [8.326374053955078, 5.247770241112448e-05, 0.01468691322952509]
